prompt,completion
"Peter Wyman works as a accountant. He is male. Candidates: accountant, secretary. Which job is correct?",accountant
"I know that Q136309071 is male and works as a accountant. Here are some options: accountant, baker. Which one is correct?",accountant
"I Kisun is male. He works as a accountant. Candidates: cleaner, accountant. Question: What job does he have?",accountant
"Neil Angus is male. He has a profession. Candidates: accountant, teacher. Which profession is his?",accountant
Information: Masahiko Ikaga is male. He works as a accountant. Options: librarian or accountant. Select the correct occupation.,accountant
"Rintarō Aoki works as a accountant. He is male. Candidates: accountant, ceo. Which job is correct?",accountant
"I know that Marc Harris is male and works as a accountant. Here are some options: receptionist, accountant. Which one is correct?",accountant
Information: Robert Elstone is male. He works as a accountant. Options: accountant or counselor. Select the correct occupation.,accountant
"I know that John B. T. Campbell III is male and works as a accountant. Here are some options: accountant, mechanic. Which one is correct?",accountant
"Richard Baum works as a accountant. He is male. Candidates: cleaner, accountant. Which job is correct?",accountant
Information: Q18542647 is male. He works as a accountant. Options: guard or accountant. Select the correct occupation.,accountant
"I know that Salomon de Monchy is male and works as a accountant. Here are some options: tailor, accountant. Which one is correct?",accountant
"Oleg Vladimirovich Korobchenko is male. He works as a accountant. Candidates: analyst, accountant. Question: What job does he have?",accountant
"Auguste Maltais is male. He has a profession. Candidates: counselor, accountant. Which profession is his?",accountant
"Q136383833 is male. He works as a accountant. Candidates: cook, accountant. Question: What job does he have?",accountant
"Thomas E. Martin is male. He works as a accountant. Candidates: accountant, ceo. Question: What job does he have?",accountant
Information: Q130521930 is male. He works as a accountant. Options: farmer or accountant. Select the correct occupation.,accountant
"I know that Leo van Gasselt is male and works as a accountant. Here are some options: guard, accountant. Which one is correct?",accountant
"Giovanni Cocca is male. He has a profession. Candidates: accountant, mechanic. Which profession is his?",accountant
Information: Arthur Bach is male. He works as a accountant. Options: salesperson or accountant. Select the correct occupation.,accountant
"Siegfried Moses is male. He has a profession. Candidates: mover, accountant. Which profession is his?",accountant
Information: Rihard Svetoslav Premrou is male. He works as a accountant. Options: cashier or accountant. Select the correct occupation.,accountant
"Q4314322 is male. He works as a accountant. Candidates: supervisor, accountant. Question: What job does he have?",accountant
"Augusto Andino Alcayaga Aldunate works as a accountant. He is male. Candidates: accountant, guard. Which job is correct?",accountant
"Jacob Oem van Wijngaerden is male. He has a profession. Candidates: accountant, editor. Which profession is his?",accountant
"Miguel de Cervantes is male. He works as a accountant. Candidates: accountant, janitor. Question: What job does he have?",accountant
"Percy Ludgate works as a accountant. He is male. Candidates: receptionist, accountant. Which job is correct?",accountant
Information: Manuel Andres Contreras Menares is male. He works as a accountant. Options: construction worker or accountant. Select the correct occupation.,accountant
"Sir Roderick Consett Proctor is male. He has a profession. Candidates: cleaner, accountant. Which profession is his?",accountant
"Philip M. Colquhoun is male. He has a profession. Candidates: accountant, farmer. Which profession is his?",accountant
