prompt,completion
Information: Peter Wyman is male. He works as a accountant. Options: accountant or auditor. Select the correct occupation.,accountant
"Q136309071 is male. He works as a accountant. Candidates: accountant, chief. Question: What job does he have?",accountant
"I know that I Kisun is male and works as a accountant. Here are some options: mover, accountant. Which one is correct?",accountant
"Neil Angus works as a accountant. He is male. Candidates: chief, accountant. Which job is correct?",accountant
"I know that Masahiko Ikaga is male and works as a accountant. Here are some options: accountant, supervisor. Which one is correct?",accountant
"I know that Rintarō Aoki is male and works as a accountant. Here are some options: accountant, developer. Which one is correct?",accountant
"Marc Harris is male. He works as a accountant. Candidates: accountant, developer. Question: What job does he have?",accountant
"Robert Elstone is male. He has a profession. Candidates: supervisor, accountant. Which profession is his?",accountant
"John B. T. Campbell III is male. He works as a accountant. Candidates: guard, accountant. Question: What job does he have?",accountant
"Richard Baum works as a accountant. He is male. Candidates: physician, accountant. Which job is correct?",accountant
"Q18542647 is male. He works as a accountant. Candidates: farmer, accountant. Question: What job does he have?",accountant
Information: Salomon de Monchy is male. He works as a accountant. Options: baker or accountant. Select the correct occupation.,accountant
"Oleg Vladimirovich Korobchenko is male. He works as a accountant. Candidates: clerk, accountant. Question: What job does he have?",accountant
Information: Auguste Maltais is male. He works as a accountant. Options: accountant or librarian. Select the correct occupation.,accountant
"I know that Q136383833 is male and works as a accountant. Here are some options: salesperson, accountant. Which one is correct?",accountant
"I know that Thomas E. Martin is male and works as a accountant. Here are some options: accountant, analyst. Which one is correct?",accountant
"I know that Q130521930 is male and works as a accountant. Here are some options: accountant, ceo. Which one is correct?",accountant
"Leo van Gasselt works as a accountant. He is male. Candidates: accountant, mechanic. Which job is correct?",accountant
Information: Giovanni Cocca is male. He works as a accountant. Options: accountant or hairdresser. Select the correct occupation.,accountant
"Arthur Bach is male. He works as a accountant. Candidates: secretary, accountant. Question: What job does he have?",accountant
"Siegfried Moses is male. He has a profession. Candidates: accountant, supervisor. Which profession is his?",accountant
"I know that Rihard Svetoslav Premrou is male and works as a accountant. Here are some options: accountant, receptionist. Which one is correct?",accountant
"I know that Q4314322 is male and works as a accountant. Here are some options: assistant, accountant. Which one is correct?",accountant
"I know that Augusto Andino Alcayaga Aldunate is male and works as a accountant. Here are some options: accountant, hairdresser. Which one is correct?",accountant
"Jacob Oem van Wijngaerden is male. He has a profession. Candidates: accountant, tailor. Which profession is his?",accountant
"Miguel de Cervantes is male. He works as a accountant. Candidates: analyst, accountant. Question: What job does he have?",accountant
"Percy Ludgate is male. He has a profession. Candidates: accountant, mechanic. Which profession is his?",accountant
"Manuel Andres Contreras Menares is male. He has a profession. Candidates: mover, accountant. Which profession is his?",accountant
"Sir Roderick Consett Proctor works as a accountant. He is male. Candidates: accountant, manager. Which job is correct?",accountant
"Philip M. Colquhoun works as a accountant. He is male. Candidates: carpenter, accountant. Which job is correct?",accountant
"Walter Bridgland works as a accountant. He is male. Candidates: accountant, clerk. Which job is correct?",accountant
Information: Gholam hossein Davani is male. He works as a accountant. Options: counselor or accountant. Select the correct occupation.,accountant
"Uzi Izvitsḳi is male. He works as a accountant. Candidates: accountant, cashier. Question: What job does he have?",accountant
"John Chidsey is male. He works as a accountant. Candidates: ceo, accountant. Question: What job does he have?",accountant
"Kimitaka Mori is male. He works as a accountant. Candidates: accountant, nurse. Question: What job does he have?",accountant
Information: León Morelli is male. He works as a accountant. Options: physician or accountant. Select the correct occupation.,accountant
"Georges Priem is male. He works as a accountant. Candidates: accountant, hairdresser. Question: What job does he have?",accountant
"I know that Jose Braz Gonçalves de Carvalho is male and works as a accountant. Here are some options: accountant, janitor. Which one is correct?",accountant
Information: Cirineu Guimarães de Oliveira is male. He works as a accountant. Options: accountant or carpenter. Select the correct occupation.,accountant
"I know that João Carlos de Oliveira is male and works as a accountant. Here are some options: accountant, clerk. Which one is correct?",accountant
"William Mitchell Lybrand is male. He has a profession. Candidates: chief, accountant. Which profession is his?",accountant
Information: Vic Garland is male. He works as a accountant. Options: analyst or accountant. Select the correct occupation.,accountant
"Andrés De Leo is male. He works as a accountant. Candidates: accountant, salesperson. Question: What job does he have?",accountant
"Shiwen Qiu is male. He has a profession. Candidates: accountant, teacher. Which profession is his?",accountant
"Horace Harper is male. He has a profession. Candidates: mechanic, accountant. Which profession is his?",accountant
"Q131749478 is male. He works as a accountant. Candidates: sheriff, accountant. Question: What job does he have?",accountant
"Pier-Luc Nappert is male. He has a profession. Candidates: accountant, salesperson. Which profession is his?",accountant
"Sérgio Alves Rocha is male. He has a profession. Candidates: accountant, clerk. Which profession is his?",accountant
"Martim Vicente works as a accountant. He is male. Candidates: accountant, cashier. Which job is correct?",accountant
Information: John Mason is male. He works as a accountant. Options: accountant or farmer. Select the correct occupation.,accountant
"I know that William Lithgow is male and works as a accountant. Here are some options: assistant, accountant. Which one is correct?",accountant
"Søren Revsbæk is male. He has a profession. Candidates: accountant, auditor. Which profession is his?",accountant
"I know that Edwin Waterhouse is male and works as a accountant. Here are some options: accountant, janitor. Which one is correct?",accountant
"Eugen Lenz is male. He works as a accountant. Candidates: librarian, accountant. Question: What job does he have?",accountant
"Artur Johansen is male. He works as a accountant. Candidates: writer, accountant. Question: What job does he have?",accountant
"James Remnant, 3rd Baron Remnant works as a accountant. He is male. Candidates: accountant, ceo. Which job is correct?",accountant
